"Supporting table 1 - Dataset assembly and protein classification, Related to Figure 1",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ENSG00000148143,ENSP00000277225,ZNF462,Q96JM2,,,1,Non-PRD proteins
ENSG00000095574,ENSP00000357881,IKZF5,Q9H5V7,,,1,Non-PRD proteins
ENSG00000246922,ENSP00000454012,UBAP1L,F5GYI3,,,0,Non-PRD proteins
ENSG00000265590,ENSP00000501000,CFAP298-TCP10L,A0A669KAY3,,,0,Non-PRD proteins
ENSG00000178078,ENSP00000468927,STAP2,Q9UGK3,,,0,Non-PRD proteins
ENSG00000126246,ENSP00000466181,IGFLR1,Q9H665,,,0,Non-PRD proteins
ENSG00000205755,ENSP00000383641,CRLF2,Q9HC73,,,0,Non-PRD proteins
ENSG00000286165,ENSP00000476091,,U3KQP1,,,0,Non-PRD proteins
ENSG00000267060,ENSP00000467778,PTGES3L,H7C1Q7,,,0,Non-PRD proteins
ENSG00000186222,ENSP00000318128,BLOC1S4,Q9NUP1,,,0,Non-PRD proteins
ENSG00000264324,ENSP00000416453,,E7EWF7,,,0,Non-PRD proteins
ENSG00000243566,ENSP00000257632,UPK3B,Q9BT76,,,0,Non-PRD proteins
ENSG00000103599,ENSP00000336861,IQCH,Q86VS3,,,1,Non-PRD proteins
ENSG00000160993,ENSP00000292566,ALKBH4,Q9NXW9,,,0,Non-PRD proteins
ENSG00000144182,ENSP00000498546,LIPT1,Q9Y234,,,0,Non-PRD proteins
ENSG00000111341,ENSP00000228938,MGP,P08493,,,1,Non-PRD proteins
ENSG00000173264,ENSP00000411827,GPR137,Q96N19,,,0,Non-PRD proteins
ENSG00000134490,ENSP00000372720,TMEM241,Q24JQ0,,,1,Non-PRD proteins
ENSG00000181222,ENSP00000502190,POLR2A,A0A590UKB6,,,0,Non-PRD proteins
ENSG00000166510,ENSP00000337209,CCDC68,Q9H2F9,,,0,Non-PRD proteins
ENSG00000168259,ENSP00000501456,DNAJC7,A0A6I8PU73,,,1,Viral-binding non-PRDs
ENSG00000162639,ENSP00000359048,HENMT1,A0A0A0MRN1,,,1,Non-PRD proteins
ENSG00000092847,ENSP00000501372,AGO1,A0A6I8PTZ8,,,1,Viral-binding non-PRDs
ENSG00000257987,ENSP00000489652,TEX49,A0A1B0GTD5,,,0,Non-PRD proteins
ENSG00000136830,ENSP00000362409,NIBAN2,Q96TA1,,,1,Non-PRD proteins
ENSG00000049540,ENSP00000313565,ELN,P15502,,,0,Non-PRD proteins
ENSG00000162723,ENSP00000357072,SLAMF9,Q96A28,,,0,Non-PRD proteins
ENSG00000166734,ENSP00000299957,GOLM2,Q6P4E1,,,1,Non-PRD proteins
ENSG00000258052,ENSP00000454833,,H3BNG1,,,0,Non-PRD proteins
ENSG00000110427,ENSP00000499430,KIAA1549L,A0A590UJI0,,,1,Non-PRD proteins
ENSG00000215547,ENSP00000383398,DEFB115,Q30KQ5,,,0,Non-PRD proteins
ENSG00000184154,ENSP00000494072,LRRC51,Q96E66,,,0,Non-PRD proteins
ENSG00000136237,ENSP00000499535,RAPGEF5,A0A590UJR0,,,1,Non-PRD proteins
ENSG00000064218,ENSP00000387472,DMRT3,Q5W0Z5,,,1,Viral-binding non-PRDs
ENSG00000189366,ENSP00000482705,ALG1L,A0A087WZJ8,,,0,Non-PRD proteins
ENSG00000255552,ENSP00000372910,LY6G6E,A0A0B4J1T7,,,0,Non-PRD proteins
ENSG00000172771,ENSP00000420854,EFCAB12,Q6NXP0,,,1,Non-PRD proteins
ENSG00000161513,ENSP00000416515,FDXR,A0A0A0MT64,,,0,Viral-binding non-PRDs
ENSG00000264187,ENSP00000394249,,J3QW42,,,0,Non-PRD proteins
ENSG00000150636,ENSP00000353377,CCDC102B,Q68D86,,,0,Non-PRD proteins
ENSG00000131634,ENSP00000454945,TMEM204,Q9BSN7,,,1,Non-PRD proteins
ENSG00000236396,ENSP00000490812,SLC35G4,P0C7Q5,,,0,Non-PRD proteins
ENSG00000158161,ENSP00000362978,EYA3,Q99504,,,1,Non-PRD proteins
ENSG00000148483,ENSP00000366715,TMEM236,Q5W0B7,,,0,Non-PRD proteins
ENSG00000161888,ENSP00000468818,SPC24,K7ESQ2,,,1,Viral-binding non-PRDs
ENSG00000156509,ENSP00000403293,FBXO43,Q4G163,,,0,Non-PRD proteins
ENSG00000102802,ENSP00000369849,MEDAG,Q5VYS4,,,0,Non-PRD proteins
ENSG00000103260,ENSP00000455068,METRN,Q9UJH8,,,0,Non-PRD proteins
ENSG00000267740,ENSP00000466639,,K7EMT4,,,0,Non-PRD proteins
ENSG00000288564,ENSP00000501018,,A0A669KAX9,,,0,Non-PRD proteins
ENSG00000186479,ENSP00000334851,RGS7BP,Q6MZT1,,,1,Non-PRD proteins
ENSG00000197183,ENSP00000483523,NOL4L,A0A087X0N3,,,1,Non-PRD proteins
ENSG00000156500,ENSP00000496338,PABIR3,A0A2R8Y7S4,,,0,Non-PRD proteins
ENSG00000101003,ENSP00000262460,GINS1,Q14691,,,0,Non-PRD proteins
ENSG00000187398,ENSP00000336817,LUZP2,Q86TE4,,,1,Non-PRD proteins
ENSG00000135451,ENSP00000447509,TROAP,F8W130,,,0,Non-PRD proteins
ENSG00000117281,ENSP00000385199,CD160,O95971,,,0,Non-PRD proteins
ENSG00000265690,ENSP00000464271,,J3QRK9,,,0,Non-PRD proteins
ENSG00000151332,ENSP00000399718,MBIP,Q9NS73,,,1,Non-PRD proteins
ENSG00000155330,ENSP00000455829,C16orf87,H3BQL3,,,1,Non-PRD proteins
ENSG00000163827,ENSP00000296144,LRRC2,Q9BYS8,,,1,Non-PRD proteins
ENSG00000126870,ENSP00000384290,DYNC2I1,Q8WVS4,,,0,Non-PRD proteins
ENSG00000203786,ENSP00000475216,KPRP,Q5T749,,,0,Non-PRD proteins
ENSG00000124942,ENSP00000367263,AHNAK,Q09666,,,0,Non-PRD proteins
ENSG00000164463,ENSP00000296953,CREBRF,Q8IUR6,,,1,Non-PRD proteins
ENSG00000175155,ENSP00000500006,YPEL2,A0A5F9ZH55,,,0,Non-PRD proteins
ENSG00000084444,ENSP00000394063,FAM234B,A2RU67,,,1,Non-PRD proteins
ENSG00000204442,ENSP00000365080,NALF1,B1AL88,,,0,Non-PRD proteins
ENSG00000236027,ENSP00000395505,PATE3,B3GLJ2,,,0,Non-PRD proteins
ENSG00000009790,ENSP00000355992,TRAF3IP3,Q9Y228,,,1,Non-PRD proteins
ENSG00000205795,ENSP00000371234,CYS1,Q717R9,,,0,Non-PRD proteins
ENSG00000161249,ENSP00000342012,DMKN,Q6E0U4,,,0,Non-PRD proteins
ENSG00000114248,ENSP00000325978,LRRC31,Q6UY01,,,0,Non-PRD proteins
ENSG00000000457,ENSP00000356744,SCYL3,Q8IZE3,,,1,Non-PRD proteins
ENSG00000213088,ENSP00000357103,ACKR1,Q16570,,,0,Non-PRD proteins
ENSG00000263874,ENSP00000490930,LINC00672,A0A1B0GWH6,,,0,Non-PRD proteins
ENSG00000178404,ENSP00000312767,CEP295NL,Q96MC4,,,0,Non-PRD proteins
ENSG00000239642,ENSP00000488568,MEIKIN,A0A087WXM9,,,0,Non-PRD proteins
ENSG00000178257,ENSP00000325638,PRM3,Q9NNZ6,,,0,Non-PRD proteins
ENSG00000130479,ENSP00000325313,MAP1S,Q66K74,,,1,Non-PRD proteins
ENSG00000107829,ENSP00000359149,FBXW4,A0A5F9UQ55,,,0,Non-PRD proteins
ENSG00000169758,ENSP00000373594,TMEM266,Q2M3C6,,,1,Non-PRD proteins
ENSG00000122417,ENSP00000320165,ODF2L,Q9ULJ1,,,1,Non-PRD proteins
ENSG00000164114,ENSP00000310593,MAP9,Q49MG5,,,0,Non-PRD proteins
ENSG00000167699,ENSP00000444315,GLOD4,F6TLX2,,,0,Non-PRD proteins
ENSG00000160401,ENSP00000362392,CFAP157,Q5JU67,,,0,Non-PRD proteins
ENSG00000137522,ENSP00000354571,RNF121,Q9H920,,,1,Non-PRD proteins
ENSG00000185674,ENSP00000327533,LYG2,Q86SG7,,,0,Non-PRD proteins
ENSG00000126545,ENSP00000246891,CSN1S1,P47710,,,0,Non-PRD proteins
ENSG00000214114,ENSP00000380702,MYCBP,Q99417,,,0,Non-PRD proteins
ENSG00000137496,ENSP00000434717,IL18BP,G3V1C5,,,0,Non-PRD proteins
ENSG00000153814,ENSP00000283928,JAZF1,Q86VZ6,,,1,Non-PRD proteins
ENSG00000157895,ENSP00000442224,C12orf43,F5H7W8,,,1,Non-PRD proteins
ENSG00000284713,ENSP00000493332,SMIM38,A0A286YFK9,,,0,Non-PRD proteins
ENSG00000204025,ENSP00000490533,TRPC5OS,A6NMA1,,,0,Non-PRD proteins
ENSG00000138483,ENSP00000261058,CCDC54,Q8NEL0,,,0,Non-PRD proteins
ENSG00000283428,ENSP00000490029,CCDC195,A0A1B0GUA6,,,0,Non-PRD proteins
ENSG00000145335,ENSP00000501269,SNCA,A0A669KBH5,,,0,Non-PRD proteins
ENSG00000124532,ENSP00000399585,MRS2,Q9HD23,,,1,Non-PRD proteins
ENSG00000187922,ENSP00000418491,LCN10,Q6JVE6,,,0,Non-PRD proteins
ENSG00000176533,ENSP00000468650,GNG7,K7ESC6,,,0,Viral-binding non-PRDs
ENSG00000049883,ENSP00000438810,PTCD2,F6S289,,,1,Non-PRD proteins
ENSG00000065371,ENSP00000483603,ROPN1,Q9HAT0,,,0,Non-PRD proteins
ENSG00000179134,ENSP00000469404,SAMD4B,M0QXV2,,,1,Non-PRD proteins
ENSG00000183092,ENSP00000490571,BEGAIN,A0A1B0GVM0,,,1,Non-PRD proteins
ENSG00000197557,ENSP00000347915,TTC30A,Q86WT1,,,0,Non-PRD proteins
ENSG00000109452,ENSP00000422793,INPP4B,E7EQN9,,,1,Non-PRD proteins
ENSG00000286190,ENSP00000499042,,A0A494C1I1,,,0,Non-PRD proteins
ENSG00000261130,ENSP00000457071,,H3BT86,,,0,Non-PRD proteins
ENSG00000145354,ENSP00000494068,CISD2,A0A2R8Y4Y3,,,0,Viral-binding non-PRDs
ENSG00000135436,ENSP00000257894,FAM186B,Q8IYM0,,,0,Non-PRD proteins
ENSG00000078018,ENSP00000501117,MAP2,A0A669KB77,,,1,Viral-binding non-PRDs
ENSG00000213722,ENSP00000364949,DDAH2,O95865,,,0,Non-PRD proteins
ENSG00000152291,ENSP00000282120,TGOLN2,A0A5H1ZRP2,,,0,Viral-binding non-PRDs
ENSG00000116688,ENSP00000501839,MFN2,A0A6Q8PFJ4,,,0,Viral-binding non-PRDs
ENSG00000274211,ENSP00000482229,SOCS7,A0A5F9YLF9,,,1,Non-PRD proteins
ENSG00000134470,ENSP00000380421,IL15RA,A0A0A0MS77,,,0,Non-PRD proteins
ENSG00000075785,ENSP00000502566,RAB7A,A0A6Q8PH84,,,0,Viral-binding non-PRDs
ENSG00000114354,ENSP00000502034,TFG,A0A6Q8PFY7,,,1,Viral-binding non-PRDs
ENSG00000103544,ENSP00000251143,VPS35L,E7EWW0,,,1,Non-PRD proteins
ENSG00000163472,ENSP00000384748,TMEM79,Q9BSE2,,,0,Non-PRD proteins
ENSG00000019485,ENSP00000480626,PRDM11,A0A087WWZ6,,,1,Non-PRD proteins
ENSG00000083535,ENSP00000317144,PIBF1,Q8WXW3,,,0,Non-PRD proteins
ENSG00000162378,ENSP00000294353,ZYG11B,Q9C0D3,,,1,Non-PRD proteins
ENSG00000162592,ENSP00000294600,CCDC27,Q2M243,,,1,Non-PRD proteins
ENSG00000134056,ENSP00000256441,MRPS36,P82909,,,0,Non-PRD proteins
ENSG00000109501,ENSP00000501033,WFS1,A0A669KAX3,,,1,Non-PRD proteins
ENSG00000173947,ENSP00000358753,PIFO,Q8TCI5,,,0,Non-PRD proteins
ENSG00000174529,ENSP00000356135,TMEM81,Q6P7N7,,,0,Non-PRD proteins
ENSG00000184162,ENSP00000402756,NR2C2AP,Q86WQ0,,,1,Non-PRD proteins
ENSG00000099194,ENSP00000359380,SCD,O00767,,,0,Non-PRD proteins
ENSG00000160207,ENSP00000291560,HSF2BP,O75031,,,0,Non-PRD proteins
ENSG00000044459,ENSP00000370021,CNTLN,Q9NXG0,,,0,Non-PRD proteins
ENSG00000144395,ENSP00000373827,CCDC150,Q8NCX0,,,0,Non-PRD proteins
ENSG00000176927,ENSP00000378312,EFCAB5,A4FU69,,,0,Non-PRD proteins
ENSG00000122224,ENSP00000263285,LY9,Q9HBG7,,,0,Non-PRD proteins
ENSG00000162885,ENSP00000502069,B3GALNT2,A0A6Q8PG34,,,0,Non-PRD proteins
ENSG00000145375,ENSP00000502453,SPATA5,A0A6Q8PGU6,,,0,Viral-binding non-PRDs
ENSG00000121957,ENSP00000501579,GPSM2,A0A6Q8PF02,,,0,Non-PRD proteins
ENSG00000234224,ENSP00000395244,TMEM229A,B2RXF0,,,0,Non-PRD proteins
ENSG00000092470,ENSP00000263795,WDR76,Q9H967,,,1,Non-PRD proteins
ENSG00000284395,ENSP00000492108,PERCC1,A0A1W2PR82,,,0,Non-PRD proteins
ENSG00000105829,ENSP00000401260,BET1,H7C1N3,,,0,Non-PRD proteins
ENSG00000255359,ENSP00000457511,CCDC179,H3BU77,,,0,Non-PRD proteins
ENSG00000165863,ENSP00000465712,C10orf82,Q8WW14,,,0,Non-PRD proteins
ENSG00000069275,ENSP00000356110,NUCKS1,Q9H1E3,,,1,Non-PRD proteins
ENSG00000160221,ENSP00000291577,GATD3A,P0DPI2,,,1,Non-PRD proteins
ENSG00000180329,ENSP00000467630,CCDC43,Q86WV7,,,0,Non-PRD proteins
ENSG00000168631,ENSP00000490368,MUCL3,A0A1B0GV46,,,0,Non-PRD proteins
ENSG00000175664,ENSP00000369840,TEX26,Q8N6G2,,,0,Non-PRD proteins
ENSG00000198854,ENSP00000357764,C1orf68,Q5T750,,,0,Non-PRD proteins
ENSG00000165113,ENSP00000365550,GKAP1,Q5VSY0,,,1,Non-PRD proteins
ENSG00000162430,ENSP00000355141,SELENON,Q9NZV5,,,0,Non-PRD proteins
ENSG00000010295,ENSP00000482285,IFFO1,A0A087WZ16,,,1,Non-PRD proteins
ENSG00000268651,ENSP00000472220,CTAG1A,A0A0A0MTT5,,,0,Non-PRD proteins
ENSG00000099834,ENSP00000380676,CDHR5,Q9HBB8,,,0,Non-PRD proteins
ENSG00000262543,ENSP00000489939,SMIM28,A0A1B0GU29,,,0,Non-PRD proteins
ENSG00000130940,ENSP00000366221,CASZ1,Q86V15,,,0,Non-PRD proteins
ENSG00000126878,ENSP00000361383,AIF1L,Q9BQI0,,,0,Non-PRD proteins
ENSG00000189430,ENSP00000291890,NCR1,A0A0A0MQZ0,,,0,Non-PRD proteins
ENSG00000183304,ENSP00000370391,FAM9A,Q8IZU1,,,0,Non-PRD proteins
ENSG00000178752,ENSP00000442304,ERFE,Q4G0M1,,,0,Non-PRD proteins
ENSG00000149548,ENSP00000435403,CCDC15,E9PKB1,,,1,Non-PRD proteins
ENSG00000153815,ENSP00000446100,CMIP,Q8IY22,,,0,Non-PRD proteins
ENSG00000105619,ENSP00000375639,TFPT,P0C1Z6,,,0,Non-PRD proteins
ENSG00000171155,ENSP00000304364,C1GALT1C1,Q96EU7,,,0,Non-PRD proteins
ENSG00000156381,ENSP00000454100,ANKRD9,Q96BM1,,,0,Non-PRD proteins
ENSG00000006555,ENSP00000360323,TTC22,Q5TAA0,,,0,Non-PRD proteins
ENSG00000205758,ENSP00000370966,CRYZL1,O95825,,,0,Non-PRD proteins
ENSG00000224940,ENSP00000415026,PRRT4,C9JH25,,,0,Non-PRD proteins
ENSG00000104967,ENSP00000501708,NOVA2,A0A6Q8PFC2,,,0,Non-PRD proteins
ENSG00000164941,ENSP00000430338,INTS8,Q75QN2,,,1,Non-PRD proteins
ENSG00000283434,ENSP00000489704,CSNKA2IP,A0A1B0GTH6,,,0,Non-PRD proteins
ENSG00000118096,ENSP00000499950,IFT46,A0A5F9ZH13,,,1,Non-PRD proteins
ENSG00000170540,ENSP00000306788,ARL6IP1,Q15041,,,0,Non-PRD proteins
ENSG00000118434,ENSP00000237201,SPACA1,Q9HBV2,,,1,Non-PRD proteins
ENSG00000183208,ENSP00000368405,GDPGP1,Q6ZNW5,,,0,Non-PRD proteins
ENSG00000173588,ENSP00000344655,CEP83,Q9Y592,,,1,Non-PRD proteins
ENSG00000049247,ENSP00000366738,UTS2,Q5H8X8,,,1,Viral-binding non-PRDs
ENSG00000198398,ENSP00000346981,TMEM207,Q6UWW9,,,0,Non-PRD proteins
ENSG00000100865,ENSP00000442057,CINP,Q9BW66,,,1,Non-PRD proteins
ENSG00000169184,ENSP00000304956,MN1,Q10571,,,0,Non-PRD proteins
ENSG00000256806,ENSP00000491523,C17orf100,A8MU93,,,0,Non-PRD proteins
ENSG00000099940,ENSP00000215730,SNAP29,O95721,,,1,Non-PRD proteins
ENSG00000075234,ENSP00000370419,TTC38,Q5R3I4,,,0,Non-PRD proteins
ENSG00000187642,ENSP00000414022,PERM1,Q5SV97,,,0,Non-PRD proteins
ENSG00000162972,ENSP00000295079,MAIP1,Q8WWC4,,,1,Non-PRD proteins
ENSG00000188771,ENSP00000341412,PLET1,Q6UQ28,,,0,Non-PRD proteins
ENSG00000126882,ENSP00000361345,FAM78A,Q5JUQ0,,,0,Non-PRD proteins
ENSG00000088543,ENSP00000404913,C3orf18,Q9UK00,,,1,Non-PRD proteins
ENSG00000181827,ENSP00000501317,RFX7,A0A669KBM4,,,1,Non-PRD proteins
ENSG00000266086,ENSP00000463235,,J3QKU1,,,0,Non-PRD proteins
ENSG00000167483,ENSP00000335040,NIBAN3,Q86XR2,,,0,Non-PRD proteins
ENSG00000212864,ENSP00000376572,RNF208,Q9H0X6,,,1,Non-PRD proteins
ENSG00000204296,ENSP00000482001,TSBP1,A0A087WYQ2,,,0,Non-PRD proteins
ENSG00000185686,ENSP00000384343,PRAME,P78395,,,0,Non-PRD proteins
ENSG00000182170,ENSP00000330612,MRGPRG,Q86SM5,,,0,Non-PRD proteins
ENSG00000243660,ENSP00000498527,ZNF487,A0A494C0H0,,,0,Non-PRD proteins
ENSG00000157954,ENSP00000288828,WIPI2,Q9Y4P8,,,0,Non-PRD proteins
ENSG00000248712,ENSP00000423567,CCDC153,Q494R4,,,0,Non-PRD proteins
ENSG00000135842,ENSP00000356481,NIBAN1,Q9BZQ8,,,1,Non-PRD proteins
ENSG00000070540,ENSP00000262139,WIPI1,Q5MNZ9,,,1,Non-PRD proteins
ENSG00000268182,ENSP00000471126,SMIM17,P0DL12,,,0,Non-PRD proteins
ENSG00000288558,ENSP00000501026,DUS4L-BCAP29,A0A669KAY5,,,0,Non-PRD proteins
ENSG00000203783,ENSP00000357733,PRR9,Q5T870,,,0,Non-PRD proteins
ENSG00000251287,ENSP00000479850,ALG1L2,C9J202,,,0,Non-PRD proteins
ENSG00000124160,ENSP00000290231,NCOA5,Q9HCD5,,,1,Non-PRD proteins
ENSG00000123505,ENSP00000500249,AMD1,A0A5F9ZHD5,,,0,Viral-binding non-PRDs
ENSG00000255302,ENSP00000431162,EID1,Q9Y6B2,,,0,Non-PRD proteins
ENSG00000214686,ENSP00000499223,IQCF6,A0A590UIX9,,,0,Non-PRD proteins
ENSG00000149633,ENSP00000279024,KIAA1755,Q5JYT7,,,1,Non-PRD proteins
ENSG00000174628,ENSP00000324901,IQCK,Q8N0W5,,,0,Non-PRD proteins
ENSG00000106633,ENSP00000500264,GCK,A0A5F9ZHE0,,,1,Non-PRD proteins
ENSG00000115271,ENSP00000394842,GCA,P28676,,,0,Non-PRD proteins
ENSG00000137309,ENSP00000308227,HMGA1,P17096,,,0,Non-PRD proteins
ENSG00000110243,ENSP00000501141,APOA5,A0A669KB69,,,0,Viral-binding non-PRDs
ENSG00000203952,ENSP00000427951,CCDC160,A6NGH7,,,0,Non-PRD proteins
ENSG00000260916,ENSP00000403400,CCPG1,Q9ULG6,,,1,Non-PRD proteins
ENSG00000237353,ENSP00000411439,PATE4,P0C8F1,,,0,Non-PRD proteins
ENSG00000185522,ENSP00000331167,LMNTD2,Q8IXW0,,,0,Non-PRD proteins
ENSG00000135374,ENSP00000501118,ELF5,A0A669KB78,,,1,Non-PRD proteins
ENSG00000285733,ENSP00000497979,,A0A3B3ITY5,,,0,Non-PRD proteins
ENSG00000205236,ENSP00000429397,,A0A286YEE6,,,0,Non-PRD proteins
ENSG00000184163,ENSP00000329137,C1QTNF12,Q5T7M4,,,1,Non-PRD proteins
ENSG00000226690,ENSP00000490444,,A0A1B0GVB3,,,0,Non-PRD proteins
ENSG00000162643,ENSP00000294664,DNAI3,Q8IWG1,,,1,Non-PRD proteins
ENSG00000183401,ENSP00000402239,CCDC159,P0C7I6,,,0,Non-PRD proteins
ENSG00000092853,ENSP00000312995,CLSPN,Q9HAW4,,,0,Non-PRD proteins
ENSG00000082556,ENSP00000500765,OPRK1,A0A5F9ZI09,,,1,Non-PRD proteins
ENSG00000166024,ENSP00000483494,R3HCC1L,Q7Z5L2,,,1,Non-PRD proteins
ENSG00000180900,ENSP00000501177,SCRIB,Q14160,PF13855;PF00595;PF00595;PF00595;PF00595,36-94;728-812;863-947;1004-1090;1100-1189,0,Inferred viral-binding PRDs
ENSG00000162300,ENSP00000294258,ZFPL1,O95159,,,0,Non-PRD proteins
ENSG00000120647,ENSP00000239830,CCDC77,Q9BR77,,,1,Non-PRD proteins
ENSG00000011523,ENSP00000367229,CEP68,Q76N32,,,0,Non-PRD proteins
ENSG00000137404,ENSP00000365603,NRM,Q8IXM6,,,0,Non-PRD proteins
ENSG00000145041,ENSP00000393183,DCAF1,Q9Y4B6,,,0,Non-PRD proteins
ENSG00000171885,ENSP00000500598,AQP4,A0A5F9ZHR4,,,1,Non-PRD proteins
ENSG00000283683,ENSP00000490048,MYOCOS,A0A1B0GUC4,,,0,Non-PRD proteins
ENSG00000124795,ENSP00000422380,DEK,H0Y8X0,,,0,Viral-binding non-PRDs
ENSG00000184730,ENSP00000457539,APOBR,Q0VD83,,,0,Non-PRD proteins
ENSG00000258461,ENSP00000492158,,A0A1W2PQD3,,,0,Non-PRD proteins
ENSG00000135900,ENSP00000258383,MRPL44,Q9H9J2,,,1,Non-PRD proteins
ENSG00000147654,ENSP00000432082,EBAG9,O00559,,,1,Non-PRD proteins
ENSG00000076685,ENSP00000502816,NT5C2,A0A6Q8PHP0,,,0,Viral-binding non-PRDs
ENSG00000070061,ENSP00000502632,ELP1,A0A6Q8PHC9,,,1,Viral-binding non-PRDs
ENSG00000177409,ENSP00000405760,SAMD9L,Q8IVG5,,,0,Non-PRD proteins
ENSG00000132622,ENSP00000254963,HSPA12B,Q96MM6,,,0,Non-PRD proteins
ENSG00000015171,ENSP00000381046,ZMYND11,E7EV75,,,1,Viral-binding non-PRDs
ENSG00000185742,ENSP00000331581,C11orf87,Q6NUJ2,,,0,Non-PRD proteins
ENSG00000166963,ENSP00000371462,MAP1A,E9PGC8,,,1,Non-PRD proteins
ENSG00000186684,ENSP00000499243,CYP27C1,A0A590UJ17,,,0,Non-PRD proteins
ENSG00000198788,ENSP00000502432,MUC2,A0A6Q8PGX3,,,0,Non-PRD proteins
ENSG00000141255,ENSP00000459580,SPATA22,Q8NHS9,,,0,Non-PRD proteins
ENSG00000186453,ENSP00000412833,FAM228A,H7C3M9,,,0,Non-PRD proteins
ENSG00000288000,ENSP00000499734,,A0A590UK80,,,1,Non-PRD proteins
ENSG00000130449,ENSP00000252744,ZSWIM6,Q9HCJ5,,,0,Non-PRD proteins
ENSG00000140961,ENSP00000376983,OSGIN1,Q9UJX0,,,0,Non-PRD proteins
ENSG00000169964,ENSP00000306564,TMEM42,Q69YG0,,,0,Non-PRD proteins
ENSG00000121864,ENSP00000477626,ZNF639,Q9UID6,,,0,Non-PRD proteins
ENSG00000163075,ENSP00000393222,CFAP221,Q4G0U5,,,0,Non-PRD proteins
ENSG00000145642,ENSP00000373726,SHISAL2B,A6NKW6,,,0,Non-PRD proteins
ENSG00000179240,ENSP00000501183,GVQW3,A0A669KB94,,,0,Non-PRD proteins
ENSG00000187186,ENSP00000454254,,H3BQ31,,,0,Non-PRD proteins
ENSG00000172568,ENSP00000310594,FNDC9,Q8TBE3,,,0,Non-PRD proteins
ENSG00000143420,ENSP00000358012,ENSA,Q5T5H1,,,0,Non-PRD proteins
ENSG00000178828,ENSP00000364263,RNF186,Q9NXI6,,,0,Non-PRD proteins
ENSG00000084734,ENSP00000264717,GCKR,A0A0C4DFN2,,,0,Non-PRD proteins
ENSG00000168913,ENSP00000382675,ENHO,Q6UWT2,,,0,Non-PRD proteins
ENSG00000141627,ENSP00000501694,DYM,A0A6Q8PF81,,,1,Viral-binding non-PRDs
ENSG00000163463,ENSP00000501502,KRTCAP2,A0A6I8PLE4,,,0,Viral-binding non-PRDs
ENSG00000180745,ENSP00000357660,CLRN3,Q8NCR9,,,1,Non-PRD proteins
ENSG00000185049,ENSP00000445757,NELFA,A0A0C4DFX9,,,1,Non-PRD proteins
ENSG00000110876,ENSP00000228463,SELPLG,Q14242,,,0,Non-PRD proteins
ENSG00000204334,ENSP00000387298,ERICH2,A1L162,,,0,Non-PRD proteins
ENSG00000132953,ENSP00000383444,XPO4,F2Z2X4,,,0,Non-PRD proteins
ENSG00000131188,ENSP00000327168,PRR7,Q8TB68,,,0,Non-PRD proteins
ENSG00000107771,ENSP00000361160,CCSER2,Q9H7U1,,,1,Non-PRD proteins
ENSG00000106105,ENSP00000502513,GARS1,A0A6Q8PGZ8,,,1,Viral-binding non-PRDs
ENSG00000280571,ENSP00000496982,,A0A3B3IRZ5,,,0,Viral-binding non-PRDs
ENSG00000145491,ENSP00000421405,ROPN1L,Q96C74,,,1,Non-PRD proteins
ENSG00000089916,ENSP00000261530,GPATCH2L,Q9NWQ4,,,1,Non-PRD proteins
ENSG00000157657,ENSP00000395400,ZNF618,B1ALC2,,,1,Non-PRD proteins
ENSG00000279493,ENSP00000485664,,A0A096LPK6,,,0,Non-PRD proteins
ENSG00000254413,ENSP00000457031,CHKB-CPT1B,H3BT56,,,0,Non-PRD proteins
ENSG00000120337,ENSP00000385470,TNFSF18,Q9UNG2,,,0,Non-PRD proteins
ENSG00000203995,ENSP00000360583,ZYG11A,Q6WRX3,,,0,Non-PRD proteins
ENSG00000285901,ENSP00000501898,,A0A6Q8PFP0,,,0,Non-PRD proteins
ENSG00000148541,ENSP00000483510,FAM13C,A0A087X0M7,,,1,Non-PRD proteins
ENSG00000170085,ENSP00000410552,SIMC1,F6R0L0,,,1,Non-PRD proteins
ENSG00000215695,ENSP00000341963,RSC1A1,Q92681,,,0,Non-PRD proteins
ENSG00000113391,ENSP00000379294,FAM172A,Q8WUF8,,,1,Non-PRD proteins
ENSG00000171766,ENSP00000379895,GATM,P50440,,,1,Non-PRD proteins
ENSG00000167524,ENSP00000301037,RSKR,A0A5H1ZRP1,,,0,Non-PRD proteins
ENSG00000088854,ENSP00000252032,DNAAF9,Q5TEA3,,,1,Non-PRD proteins
ENSG00000161860,ENSP00000293695,SYCE2,Q6PIF2,,,0,Non-PRD proteins
ENSG00000123144,ENSP00000242784,TRIR,Q9BQ61,,,0,Non-PRD proteins
ENSG00000129493,ENSP00000437968,HEATR5A,F5H619,,,1,Non-PRD proteins
ENSG00000164051,ENSP00000379047,CCDC51,Q96ER9,,,0,Non-PRD proteins
ENSG00000283267,ENSP00000490466,FAM237B,A0A1B0GVD1,,,0,Non-PRD proteins
ENSG00000116815,ENSP00000358501,CD58,P19256,,,0,Non-PRD proteins
ENSG00000161328,ENSP00000270115,LRRC56,Q8IYG6,,,1,Non-PRD proteins
ENSG00000275066,ENSP00000483453,SYNRG,Q9UMZ2,,,1,Non-PRD proteins
